2022-05-03 17:12:58,773 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:238] - Found @SpringBootConfiguration cn.welldone.collect.CollectApplication for test class cn.welldone.collect.service.report.ReportSimilarityServiceTest
2022-05-03 17:12:58,787 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:245] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-05-03 17:12:58,788 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:174] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7e38a7fe, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@366ef90e, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@33e01298, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@31e75d13, org.springframework.test.context.support.DirtiesContextTestExecutionListener@a5b0b86, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4b3c354a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@78fb9a67, org.springframework.test.context.event.EventPublishingTestExecutionListener@73ff4fae, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@21aa6d6c, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@b968a76, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2f9a01c1, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2611b9a3, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@54227100, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@6b5894c8]
2022-05-03 17:12:58,812 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:305] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.welldone.collect.service.task.TodoTaskServiceTest], using SpringBootContextLoader
2022-05-03 17:12:58,819 [main] INFO  o.s.t.c.s.AbstractContextLoader [Line:264] - Could not detect default resource locations for test class [cn.welldone.collect.service.task.TodoTaskServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-05-03 17:12:58,819 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils [Line:83 ] - Could not detect default configuration classes for test class [cn.welldone.collect.service.task.TodoTaskServiceTest]: TodoTaskServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-05-03 17:12:58,840 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:238] - Found @SpringBootConfiguration cn.welldone.collect.CollectApplication for test class cn.welldone.collect.service.task.TodoTaskServiceTest
2022-05-03 17:12:58,854 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:245] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-05-03 17:12:58,856 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:174] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5b64c4b7, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4763c727, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@72445aba, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@61bcd567, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1c80e49b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@458342d3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@15c25153, org.springframework.test.context.event.EventPublishingTestExecutionListener@1252b961, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@9ed238c, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@56276db8, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@51e8e6e6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@56f6d40b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@36676c1a, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@5b408dc3]
2022-05-03 17:12:58,875 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:305] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.welldone.collect.service.report.ReportServiceTest], using SpringBootContextLoader
